date,name,Active,Confirmed
"July 26, 2020",Bacacay,0,3
"July 26, 2020",Camalig,2,3
"July 26, 2020",Daraga,2,16
"July 26, 2020",Guinobatan,1,13
"July 26, 2020",Jovellar,0,0
"July 26, 2020",Legazpi City,15,55
"July 26, 2020",Libon,0,0
"July 26, 2020",Ligao City,0,6
"July 26, 2020",Malilipot,0,0
"July 26, 2020",Malinao,0,0
"July 26, 2020",Manito,4,8
"July 26, 2020",Oas,2,4
"July 26, 2020",Pio Duran,0,0
"July 26, 2020",Polangui,0,0
"July 26, 2020",Rapu-Rapu,0,0
"July 26, 2020",Santo Domingo,0,0
"July 26, 2020",Tabaco City,5,8
"July 26, 2020",Tiwi,0,1
,,,
"July 25, 2020",Bacacay,0,3
"July 25, 2020",Camalig,2,3
"July 25, 2020",Daraga,2,16
"July 25, 2020",Guinobatan,4,12
"July 25, 2020",Jovellar,0,0
"July 25, 2020",Legazpi City,12,52
"July 25, 2020",Libon,0,0
"July 25, 2020",Ligao City,0,6
"July 25, 2020",Malilipot,0,0
"July 25, 2020",Malinao,0,0
"July 25, 2020",Manito,2,6
"July 25, 2020",Oas,2,4
"July 25, 2020",Pio Duran,0,0
"July 25, 2020",Polangui,0,0
"July 25, 2020",Rapu-Rapu,0,0
"July 25, 2020",Santo Domingo,0,0
"July 25, 2020",Tabaco City,5,8
"July 25, 2020",Tiwi,0,1
,,,
"July 24, 2020",Bacacay,0,3
"July 24, 2020",Camalig,2,3
"July 24, 2020",Daraga,1,15
"July 24, 2020",Guinobatan,4,12
"July 24, 2020",Jovellar,0,0
"July 24, 2020",Legazpi City,11,51
"July 24, 2020",Libon,0,0
"July 24, 2020",Ligao City,0,6
"July 24, 2020",Malilipot,0,0
"July 24, 2020",Malinao,0,0
"July 24, 2020",Manito,2,6
"July 24, 2020",Oas,2,4
"July 24, 2020",Pio Duran,0,0
"July 24, 2020",Polangui,0,0
"July 24, 2020",Rapu-Rapu,0,0
"July 24, 2020",Santo Domingo,0,0
"July 24, 2020",Tabaco City,5,8
"July 24, 2020",Tiwi,0,1
,,,
"July 22, 2020",Bacacay,0,3
"July 22, 2020",Camalig,2,3
"July 22, 2020",Daraga,1,15
"July 22, 2020",Guinobatan,4,12
"July 22, 2020",Jovellar,0,0
"July 22, 2020",Legazpi City,12,48
"July 22, 2020",Libon,0,0
"July 22, 2020",Ligao City,3,6
"July 22, 2020",Malilipot,0,0
"July 22, 2020",Malinao,0,0
"July 22, 2020",Manito,2,6
"July 22, 2020",Oas,2,4
"July 22, 2020",Pio Duran,0,0
"July 22, 2020",Polangui,0,0
"July 22, 2020",Rapu-Rapu,0,0
"July 22, 2020",Santo Domingo,0,0
"July 22, 2020",Tabaco City,5,8
"July 22, 2020",Tiwi,0,1
